iter	Logloss
0	0.5736986605
1	0.4727890115
2	0.3925600652
3	0.3323171949
4	0.2801452701
5	0.240185283
6	0.1995527652
7	0.1700724098
8	0.1453155473
9	0.1234255454
10	0.1071392216
11	0.09184716462
12	0.08192355845
13	0.07310240763
14	0.06480607221
15	0.05819486121
16	0.05191199675
17	0.0481274941
18	0.04489369274
19	0.04054243295
20	0.0379741811
21	0.03516007005
22	0.03236832676
23	0.02991911034
24	0.02812585844
25	0.02642234698
26	0.0250097404
27	0.02363526313
28	0.02257646843
29	0.02168597095
30	0.02038768552
31	0.01966026632
32	0.01882526428
33	0.01828443562
34	0.01759811072
35	0.01685199764
36	0.01620795026
37	0.0156665627
38	0.01513229835
39	0.01482173663
40	0.01446498916
41	0.01401293094
42	0.01378802624
43	0.01330342799
44	0.01311499443
45	0.01295597178
46	0.01252465615
47	0.01233689918
48	0.01212359555
49	0.0119252595
50	0.01163884088
51	0.01147175017
52	0.01128965428
53	0.01103111116
54	0.01083210412
55	0.01070222829
56	0.01050726786
57	0.01029050616
58	0.01015140525
59	0.009981968875
60	0.009850837935
61	0.009730430341
62	0.009593377138
63	0.009361319341
64	0.009240983721
65	0.009140158445
66	0.008987022092
67	0.00885423326
68	0.008740845549
69	0.008531559209
70	0.008358266686
71	0.008149712936
72	0.008033361366
73	0.007918860091
74	0.007699397869
75	0.007608372414
76	0.007467599223
77	0.007388370282
78	0.007295575638
79	0.007195655854
80	0.00708964771
81	0.006993107297
82	0.006882666416
83	0.006799234283
84	0.006727069809
85	0.006646641603
86	0.006549746208
87	0.006481567265
88	0.00640988655
89	0.006353309416
90	0.006252187192
91	0.006183564712
92	0.006090616878
93	0.006040316073
94	0.005975246322
95	0.005928405268
96	0.005835320668
97	0.005749171498
98	0.005699707993
99	0.005650441901
100	0.00556297297
101	0.00548800317
102	0.005450206483
103	0.005404923322
104	0.00535093323
105	0.00528017408
106	0.005210398721
107	0.005168115554
108	0.005124827125
109	0.005062713064
110	0.004987423768
111	0.0049041139
112	0.004859560285
113	0.004794436688
114	0.004763456319
115	0.00471082642
116	0.004677901447
117	0.004572041557
118	0.004542895086
119	0.004503708291
120	0.004465162265
121	0.004433372151
122	0.004400412358
123	0.004339502955
124	0.004299922045
125	0.004252691745
126	0.004231974015
127	0.004192837463
128	0.004152750372
129	0.004113144635
130	0.004037327843
131	0.003983449321
132	0.003965469191
133	0.003938584686
134	0.003904817763
135	0.003875564549
136	0.003854982257
137	0.003811163645
138	0.003754766162
139	0.003734351692
140	0.003702169482
141	0.003658026952
142	0.003625793955
143	0.003594810424
144	0.003579213086
145	0.003563072179
146	0.003534334912
147	0.003516142268
148	0.003482143402
149	0.003459283534
150	0.003429891645
151	0.003400794804
152	0.003370527771
153	0.003347740374
154	0.003322226284
155	0.00330658475
156	0.003292365771
157	0.003259269854
158	0.003225293533
159	0.003204730323
160	0.003177490797
161	0.003144466956
162	0.003125931525
163	0.00310384198
164	0.003063372356
165	0.003049673844
166	0.003037439972
167	0.003015343674
168	0.003004049845
169	0.002990272587
170	0.002958686105
171	0.002899144441
172	0.00288094668
173	0.002853358263
174	0.002835067607
175	0.002817123036
176	0.002799027556
177	0.002782800719
178	0.00278278835
179	0.002762663775
180	0.002762662139
181	0.002744633682
182	0.002730472323
183	0.00271088971
184	0.002694212682
185	0.002674663442
186	0.002630021761
187	0.002601320565
188	0.002601338619
189	0.002601232786
190	0.00258877763
191	0.002588657436
192	0.002588670036
193	0.002588660892
194	0.00258862558
195	0.002571881931
196	0.002562225268
197	0.002549824623
198	0.002538249983
199	0.002521394482
200	0.0025213697
201	0.002521355038
202	0.002512604286
203	0.002512570469
204	0.002490486512
205	0.002476279942
206	0.002469756515
207	0.002450751815
208	0.002450714066
209	0.00245071163
210	0.002424861912
211	0.002411004506
212	0.002385913298
213	0.002373219925
214	0.002373195178
215	0.002364620708
216	0.002344996745
217	0.002344965973
218	0.002344958248
219	0.00234492784
220	0.002344796303
221	0.002344785093
222	0.002344730344
223	0.002344730279
224	0.002335440218
225	0.002322358551
226	0.002322331662
227	0.002305155113
228	0.002278631162
229	0.002255764089
230	0.002252415983
231	0.002222981793
232	0.002214418446
233	0.002214188356
234	0.002205825363
235	0.002205772503
236	0.002205772503
237	0.002205772503
238	0.002205772503
239	0.002177435328
240	0.002172187238
241	0.002172154225
242	0.002164377549
243	0.002164407845
244	0.002164407845
245	0.002164407845
246	0.002164407845
247	0.002164407845
248	0.002164407845
249	0.002164407845
250	0.002164407845
251	0.002164407845
252	0.002164407845
253	0.002164407845
254	0.002164407845
255	0.002164407845
256	0.002164407845
257	0.002164407845
258	0.002164407845
259	0.002164407845
260	0.002164407845
261	0.002164407845
262	0.002164407845
263	0.002164407845
264	0.002164407845
265	0.002164407845
266	0.002164407845
267	0.002164407845
268	0.002164407845
269	0.002164407845
270	0.002164407845
271	0.002164407845
272	0.002164407845
273	0.002164407845
274	0.002164407845
275	0.002164407845
276	0.002164407845
277	0.002164407845
278	0.002164407845
279	0.002164407845
280	0.002164407845
281	0.002164407845
282	0.002164407845
283	0.002164407845
284	0.002164407845
285	0.002164407845
286	0.002164407845
287	0.002164407845
288	0.002164407845
289	0.002164407845
290	0.002164407845
291	0.002164407845
292	0.002164407845
293	0.002164407845
294	0.002164407845
295	0.002164407845
296	0.002164407845
297	0.002164407845
298	0.002164407845
299	0.002164407845
